Image Alt,Image Src
Boston College Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png&scale=crop&cquality=40&location=origin&w=80&h=80
California Golden Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/25.png&scale=crop&cquality=40&location=origin&w=80&h=80
Clemson Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&scale=crop&cquality=40&location=origin&w=80&h=80
Duke Blue Devils,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&scale=crop&cquality=40&location=origin&w=80&h=80
Florida State Seminoles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/52.png&scale=crop&cquality=40&location=origin&w=80&h=80
Georgia Tech Yellow Jackets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/59.png&scale=crop&cquality=40&location=origin&w=80&h=80
Louisville Cardinals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png&scale=crop&cquality=40&location=origin&w=80&h=80
Miami Hurricanes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&scale=crop&cquality=40&location=origin&w=80&h=80
NC State Wolfpack,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png&scale=crop&cquality=40&location=origin&w=80&h=80
North Carolina Tar Heels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&scale=crop&cquality=40&location=origin&w=80&h=80
Notre Dame Fighting Irish,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&scale=crop&cquality=40&location=origin&w=80&h=80
Pittsburgh Panthers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&scale=crop&cquality=40&location=origin&w=80&h=80
SMU Mustangs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png&scale=crop&cquality=40&location=origin&w=80&h=80
Stanford Cardinal,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/24.png&scale=crop&cquality=40&location=origin&w=80&h=80
Syracuse Orange,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png&scale=crop&cquality=40&location=origin&w=80&h=80
Virginia Cavaliers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png&scale=crop&cquality=40&location=origin&w=80&h=80
Virginia Tech Hokies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&scale=crop&cquality=40&location=origin&w=80&h=80
Wake Forest Demon Deacons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&scale=crop&cquality=40&location=origin&w=80&h=80
Austin Peay Governors,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2046.png&scale=crop&cquality=40&location=origin&w=80&h=80
Bellarmine Knights,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/91.png&scale=crop&cquality=40&location=origin&w=80&h=80
Central Arkansas Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2110.png&scale=crop&cquality=40&location=origin&w=80&h=80
Eastern Kentucky Colonels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2198.png&scale=crop&cquality=40&location=origin&w=80&h=80
Florida Gulf Coast Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/526.png&scale=crop&cquality=40&location=origin&w=80&h=80
Jacksonville Dolphins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/294.png&scale=crop&cquality=40&location=origin&w=80&h=80
Lipscomb Bisons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/288.png&scale=crop&cquality=40&location=origin&w=80&h=80
